,timestamp,source,LHA_count_1,LHA_count_2,LHB_count_1,LHB_count_2
337,2023-07-27T15:35:30.217786Z,R,43664,70526,48164,82024
338,2023-07-27T15:35:30.321854Z,R,43667,70530,48164,82025
339,2023-07-27T15:35:30.406213Z,R,43666,70531,48164,82025
340,2023-07-27T15:35:30.725862Z,R,43663,70534,48163,82025
341,2023-07-27T15:35:30.929820Z,R,43664,70525,48168,82025
342,2023-07-27T15:35:31.006844Z,R,43666,70531,48172,82024
343,2023-07-27T15:35:31.116783Z,R,43663,70528,48168,82025
344,2023-07-27T15:35:31.210817Z,R,43666,70537,48164,82024
345,2023-07-27T15:35:31.318821Z,R,43664,70529,48163,82023
346,2023-07-27T15:35:31.416256Z,R,43666,70524,48163,82023
347,2023-07-27T15:35:31.516869Z,R,43665,70534,48163,82025
348,2023-07-27T15:35:31.619944Z,R,43664,70531,48158,82020
349,2023-07-27T15:35:31.726153Z,R,43664,70529,48172,82024
350,2023-07-27T15:35:31.824853Z,R,43663,70531,48168,82025
351,2023-07-27T15:35:31.937047Z,R,43666,70540,48162,82024
352,2023-07-27T15:35:32.007543Z,R,43670,70530,48166,82028
353,2023-07-27T15:35:32.109114Z,R,43667,70532,48172,82024
354,2023-07-27T15:35:32.209638Z,R,43664,70533,48163,82025
355,2023-07-27T15:35:32.315971Z,R,43665,70532,48163,82025
356,2023-07-27T15:35:32.436859Z,R,43663,70534,48166,82025
357,2023-07-27T15:35:32.720933Z,R,46512,74587,48344,84230
358,2023-07-27T15:35:32.801833Z,R,47788,75933,48524,84776
359,2023-07-27T15:35:40.610571Z,B,52571,99166,60185,102052
360,2023-07-27T15:35:40.693742Z,B,51288,98256,58116,100075
361,2023-07-27T15:35:41.004378Z,G,48626,95130,53492,95139
362,2023-07-27T15:35:41.250989Z,G,47976,94698,52335,94886
363,2023-07-27T15:35:49.311422Z,G,30848,75422,31449,76411
364,2023-07-27T15:35:49.418995Z,G,31579,74867,31819,76105
365,2023-07-27T15:35:49.627088Z,G,32836,73374,33643,75428
366,2023-07-27T15:35:49.704959Z,G,33063,73096,33980,75228
367,2023-07-27T15:35:49.813185Z,G,33177,72801,34315,75109
368,2023-07-27T15:35:49.908983Z,G,33236,72614,34492,75006
369,2023-07-27T15:35:49.995945Z,G,33335,72533,34624,74960
370,2023-07-27T15:35:50.112501Z,G,33372,72504,34708,74965
371,2023-07-27T15:35:50.522128Z,G,33491,72633,34900,75262
372,2023-07-27T15:35:50.734371Z,G,32877,72671,34293,75250
373,2023-07-27T15:35:50.799183Z,G,32657,72628,33979,75173
374,2023-07-27T15:35:50.912115Z,G,32458,72627,33745,75088
375,2023-07-27T15:35:51.001279Z,G,32511,72700,33903,75210
376,2023-07-27T15:35:51.106235Z,G,32901,72731,34565,75782
377,2023-07-27T15:35:51.216080Z,G,33161,72733,35320,76276
378,2023-07-27T15:35:51.307712Z,G,33164,72724,35701,76883
379,2023-07-27T15:35:51.517035Z,G,32920,72249,36120,77110
380,2023-07-27T15:35:52.223106Z,G,31678,73418,33994,77393
381,2023-07-27T15:35:52.468863Z,G,32816,74388,35600,78478
382,2023-07-27T15:35:53.118124Z,G,33553,73356,34621,75785
383,2023-07-27T15:35:53.214077Z,G,33456,73226,34277,75341
384,2023-07-27T15:35:53.412330Z,G,33157,73262,33539,74749
385,2023-07-27T15:35:53.803561Z,G,33272,73417,33382,74622
386,2023-07-27T15:35:54.004128Z,G,33235,73534,33269,74674
387,2023-07-27T15:35:54.115891Z,G,33124,73604,33171,74650
388,2023-07-27T15:35:54.340379Z,G,33068,73455,33123,74463
389,2023-07-27T15:35:54.404812Z,G,33022,73238,33113,74316
390,2023-07-27T15:35:54.517992Z,G,32997,73111,33150,74262
391,2023-07-27T15:35:54.605960Z,G,32815,72875,33150,74181
392,2023-07-27T15:35:54.753008Z,G,32263,72289,32918,73794
393,2023-07-27T15:35:55.370263Z,G,29987,69227,31258,70179
394,2023-07-27T15:35:55.400976Z,G,31499,68539,32898,69253
395,2023-07-27T15:35:55.504232Z,G,31794,68325,33328,68814
396,2023-07-27T15:35:55.611810Z,G,32201,68185,33544,68341
397,2023-07-27T15:35:59.120280Z,R,47247,80266,48711,85848
398,2023-07-27T15:35:59.219994Z,R,46760,80959,48262,86068
399,2023-07-27T15:36:00.919419Z,R,41822,76172,42871,81428
400,2023-07-27T15:36:01.114951Z,R,41579,75714,42650,80854
401,2023-07-27T15:36:01.208003Z,R,41330,75538,42454,80616
402,2023-07-27T15:36:01.318049Z,R,41078,75392,42300,80414
403,2023-07-27T15:36:01.413342Z,R,40940,75285,42201,80290
404,2023-07-27T15:36:01.509154Z,R,40915,75240,42199,80258
405,2023-07-27T15:36:01.631314Z,R,40943,75224,42238,80278
406,2023-07-27T15:36:01.710004Z,R,40973,75240,42302,80367
407,2023-07-27T15:36:01.839935Z,R,40995,75303,42359,80473
