timestamp,frame,x,y
2023-07-24T17:11:50.617284Z,11612,2117.55108833313,1315.843105316162
2023-07-24T17:11:50.633967Z,11613,2116.457939147949,1315.7574534416199
2023-07-24T17:11:50.650651Z,11614,2115.314245223999,1315.3943717479706
2023-07-24T17:11:50.667334Z,11615,2114.053249359131,1315.130889415741
2023-07-24T17:11:50.684017Z,11616,2113.9848232269287,1314.5787119865417
2023-07-24T17:11:50.700701Z,11617,2112.637996673584,1314.4510388374329
2023-07-24T17:11:50.717384Z,11618,2111.8526458740234,1314.149022102356
2023-07-24T17:11:50.734067Z,11619,2110.6667518615723,1313.992828130722
2023-07-24T17:11:50.750751Z,11620,2109.821081161499,1313.7736916542053
2023-07-24T17:11:50.767434Z,11621,2108.6630821228027,1313.637614250183
2023-07-24T17:11:50.784117Z,11622,2107.7935695648193,1313.5181665420532
2023-07-24T17:11:50.800801Z,11623,2106.7020893096924,1313.406229019165
2023-07-24T17:11:50.817484Z,11624,2105.764627456665,1313.426524400711
2023-07-24T17:11:50.834168Z,11625,2104.69913482666,1313.3741319179535
2023-07-24T17:11:50.850851Z,11626,2103.77836227417,1313.3915662765503
2023-07-24T17:11:50.867534Z,11627,2102.7398109436035,1313.439667224884
2023-07-24T17:11:50.884218Z,11628,2101.5355587005615,1313.4305477142334
2023-07-24T17:11:50.900901Z,11629,2100.4347801208496,1313.492774963379
2023-07-24T17:11:50.917584Z,11630,2099.255084991455,1313.4892880916595
2023-07-24T17:11:50.934268Z,11631,2097.832441329956,1313.663899898529
2023-07-24T17:11:50.950951Z,11632,2096.5516567230225,1313.7355148792267
2023-07-24T17:11:50.967634Z,11633,2095.3874588012695,1313.962072134018
2023-07-24T17:11:50.984318Z,11634,2094.172716140747,1314.0982389450073
2023-07-24T17:11:51.001001Z,11635,2092.9415225982666,1314.3718242645264
2023-07-24T17:11:51.017684Z,11636,2091.8917655944824,1314.3881857395172
2023-07-24T17:11:51.034368Z,11637,2090.547800064087,1314.7603869438171
2023-07-24T17:11:51.051051Z,11638,2089.508295059204,1314.697265625
2023-07-24T17:11:51.067734Z,11639,2088.35506439209,1314.854085445404
2023-07-24T17:11:51.084418Z,11640,2087.085962295532,1315.1997327804565
2023-07-24T17:11:51.101101Z,11641,2085.8302116394043,1315.1730000972748
2023-07-24T17:11:51.117784Z,11642,2084.78045463562,1315.3215050697327
2023-07-24T17:11:51.134468Z,11643,2083.631992340088,1315.5753314495087
2023-07-24T17:11:51.151151Z,11644,2082.49831199646,1315.4737651348114
2023-07-24T17:11:51.167835Z,11645,2081.292152404785,1315.6749308109283
2023-07-24T17:11:51.184518Z,11646,2079.9105167388916,1315.7417178153992
2023-07-24T17:11:51.201201Z,11647,2078.840732574463,1315.7621026039124
2023-07-24T17:11:51.217885Z,11648,2077.9287815093994,1315.9205317497253
2023-07-24T17:11:51.234568Z,11649,2076.7886638641357,1316.0187900066376
