timestamp,frame,source,x,y
2023-07-27T15:36:54.227561Z,16378,R,1426.0422611236572,1060.7472338676453
2023-07-27T15:36:54.244244Z,16379,R,1425.312156677246,1060.13148021698
2023-07-27T15:36:54.260928Z,16380,R,1424.8956909179688,1059.482001543045
2023-07-27T15:36:54.277611Z,16381,R,1424.0791988372803,1058.60635972023
2023-07-27T15:36:54.294294Z,16382,R,1423.4358043670654,1057.7141575813293
2023-07-27T15:36:54.310978Z,16383,R,1422.438961982727,1056.7001101970673
2023-07-27T15:36:54.327661Z,16384,R,1421.9024238586426,1055.9290280342102
2023-07-27T15:36:54.344344Z,16385,R,1421.127836227417,1054.9790461063385
2023-07-27T15:36:54.361028Z,16386,R,1420.5439138412476,1054.06170129776
2023-07-27T15:36:54.377711Z,16387,R,1419.9527387619019,1053.3191463947296
2023-07-27T15:36:54.394394Z,16388,R,1419.2052278518677,1052.3868126869202
2023-07-27T15:36:54.411078Z,16389,R,1418.6477375030518,1051.5829725265503
2023-07-27T15:36:54.427761Z,16390,R,1417.8820142745972,1050.5540571212769
2023-07-27T15:36:54.444444Z,16391,R,1417.261344909668,1049.5498008728027
2023-07-27T15:36:54.461128Z,16392,R,1416.6140823364258,1048.5529181957245
2023-07-27T15:36:54.477811Z,16393,R,1416.0841522216797,1047.6995179653168
2023-07-27T15:36:54.494494Z,16394,R,1415.2984437942505,1046.4232857227325
2023-07-27T15:36:54.511178Z,16395,R,1414.544002532959,1045.4260404109955
2023-07-27T15:36:54.527861Z,16396,R,1414.0058526992798,1044.3528835773468
2023-07-27T15:36:54.544545Z,16397,R,1413.5178270339966,1043.25772690773
2023-07-27T15:36:54.561228Z,16398,R,1413.0900793075562,1042.3093163967133
2023-07-27T15:36:54.577911Z,16399,R,1412.5145378112793,1041.1655666828156
2023-07-27T15:36:54.594595Z,16400,R,1412.2526350021362,1040.156837940216
2023-07-27T15:36:54.611278Z,16401,R,1411.2308111190796,1039.3088772296906
2023-07-27T15:36:54.627961Z,16402,R,1410.3896598815918,1038.4119608402252
2023-07-27T15:36:54.644645Z,16403,R,1409.4638938903809,1037.262529850006
2023-07-27T15:36:54.661328Z,16404,R,1408.7062292099,1036.3381741046906
2023-07-27T15:36:54.678011Z,16405,R,1408.1534128189087,1035.4122469425201
2023-07-27T15:36:54.694695Z,16406,R,1407.7063245773315,1034.4432871341705
2023-07-27T15:36:54.711378Z,16407,R,1407.2153978347778,1033.3532073497772
2023-07-27T15:36:54.728061Z,16408,R,1406.5681352615356,1032.465719461441
2023-07-27T15:36:54.744745Z,16409,R,1405.8438329696655,1031.1080152988434
2023-07-27T15:36:54.761428Z,16410,R,1405.2072076797485,1029.906727552414
2023-07-27T15:36:54.778111Z,16411,R,1405.1087322235107,1029.271028995514
2023-07-27T15:36:54.794795Z,16412,R,1404.4556674957275,1028.1394879817963
2023-07-27T15:36:54.811478Z,16413,R,1404.0867471694946,1026.889244556427
2023-07-27T15:36:54.828161Z,16414,R,1403.772786140442,1025.8523511886597
2023-07-27T15:36:54.844845Z,16415,R,1403.4235286712646,1024.7153706550598
2023-07-27T15:36:54.861528Z,16416,R,1403.1866073608398,1023.6401588916779
2023-07-27T15:36:54.878212Z,16417,R,1402.5359601974487,1022.4924201965332
2023-07-27T15:36:54.894895Z,16418,R,1401.9009466171265,1021.2760226726532
2023-07-27T15:36:54.911578Z,16419,R,1401.4741659164429,1020.2287337779999
2023-07-27T15:36:54.928262Z,16420,R,1401.0855827331543,1019.1502583026886
2023-07-27T15:36:54.944945Z,16421,R,1400.3385553359985,1017.7132580280304
2023-07-27T15:36:54.961628Z,16422,R,1400.217354774475,1016.9757800102234
2023-07-27T15:36:54.978312Z,16423,R,1399.71160030365,1015.8898100852966
2023-07-27T15:36:54.994995Z,16424,R,1399.3676614761353,1014.8659715652466
2023-07-27T15:36:55.011678Z,16425,R,1398.9776277542114,1013.7180515527725
2023-07-27T15:36:55.028362Z,16426,R,1398.9491004943848,1012.8506294488907
2023-07-27T15:36:55.045045Z,16427,R,1398.826771736145,1011.9176913499832
2023-07-27T15:36:55.061728Z,16428,R,1398.4757413864136,1010.8426004648209
2023-07-27T15:36:55.078412Z,16429,R,1398.4207820892334,1010.1205948591232
2023-07-27T15:36:55.095095Z,16430,R,1398.1774139404297,1009.220596075058
2023-07-27T15:36:55.111778Z,16431,R,1398.2836256027222,1008.467826962471
2023-07-27T15:36:55.128462Z,16432,R,1398.087158203125,1007.304011464119
2023-07-27T15:36:55.145145Z,16433,R,1398.186761856079,1006.6223791837692
2023-07-27T15:36:55.161828Z,16434,R,1397.4378004074097,1005.3457843065262
2023-07-27T15:36:55.178512Z,16435,R,1397.642165184021,1004.8671065568924
2023-07-27T15:36:55.195195Z,16436,R,1397.4160423278809,1003.7433017492294
2023-07-27T15:36:55.211879Z,16437,R,1397.2347249984741,1002.9015662670135
2023-07-27T15:36:55.228562Z,16438,R,1397.241494178772,1001.9488645792007
2023-07-27T15:36:55.245245Z,16439,R,1397.3106365203857,1001.1731286048889
2023-07-27T15:36:55.261929Z,16440,R,1397.3905773162842,1000.3616126775742
2023-07-27T15:36:55.278612Z,16441,R,1397.1447916030884,999.1860719919205
2023-07-27T15:36:55.295295Z,16442,R,1397.070008277893,998.0290256738663
2023-07-27T15:36:55.311979Z,16443,R,1396.7963399887085,997.0497912168503
2023-07-27T15:36:55.328662Z,16444,R,1397.1992673873901,996.1120784282684
2023-07-27T15:36:55.345345Z,16445,R,1397.265025138855,994.899790763855
2023-07-27T15:36:55.362029Z,16446,R,1397.7034101486206,994.083137512207
2023-07-27T15:36:55.378712Z,16447,R,1397.8923025131226,992.9848380088806
2023-07-27T15:36:55.395395Z,16448,R,1398.1587181091309,991.7669899463654
2023-07-27T15:36:55.412079Z,16449,R,1397.4479541778564,990.7733105421066
2023-07-27T15:36:55.428762Z,16450,R,1397.2822704315186,989.932421207428
2023-07-27T15:36:55.445445Z,16451,R,1397.004895210266,989.0691694021225
2023-07-27T15:36:55.462129Z,16452,R,1396.9333353042603,988.0091882944107
2023-07-27T15:36:55.478812Z,16453,R,1396.6517696380615,987.1144477128983
2023-07-27T15:36:55.495495Z,16454,R,1396.9849100112915,986.1042079925537
2023-07-27T15:36:55.512179Z,16455,R,1396.5089721679688,985.0112271308899
2023-07-27T15:36:55.528862Z,16456,R,1396.530891418457,983.873944401741
2023-07-27T15:36:55.545546Z,16457,R,1396.5374994277954,982.7581779956818
2023-07-27T15:36:55.562229Z,16458,R,1396.6790075302124,981.6843563318253
2023-07-27T15:36:55.578912Z,16459,R,1396.5579681396484,980.5781997442245
2023-07-27T15:36:55.595596Z,16460,R,1396.672721862793,979.3926261663437
2023-07-27T15:36:55.612279Z,16461,R,1396.7407360076904,978.2294150590897
2023-07-27T15:36:55.628962Z,16462,R,1397.250680923462,977.3543171882629
2023-07-27T15:36:55.645646Z,16463,R,1397.2692155838013,976.1602216959
2023-07-27T15:36:55.662329Z,16464,R,1397.5264444351196,974.9643130302429
2023-07-27T15:36:55.679012Z,16465,R,1397.8004350662231,973.4737032651901
2023-07-27T15:36:55.695696Z,16466,R,1398.1350259780884,972.3020911216736
2023-07-27T15:36:55.712379Z,16467,R,1398.7463474273682,971.1367646455765
2023-07-27T15:36:55.729062Z,16468,R,1399.0545063018799,969.6987973451614
2023-07-27T15:36:55.745746Z,16469,R,1399.7235269546509,968.4544769525528
2023-07-27T15:36:55.762429Z,16470,R,1400.295039176941,967.234030008316
2023-07-27T15:36:55.779112Z,16471,R,1400.8831520080566,966.0416872501373
2023-07-27T15:36:55.795796Z,16472,R,1401.372628211975,964.702840089798
2023-07-27T15:36:55.812479Z,16473,R,1401.099765777588,963.7788469791412
2023-07-27T15:36:55.829162Z,16474,R,1400.8675184249878,962.8766723871231
2023-07-27T15:36:55.845846Z,16475,R,1400.936821937561,961.8078067302704
